Month #,Month,Year,STORE TYPE,CATEGORY,SEGMENT,MANUFACTURER_1,BRAND_2,BARCODE,PACK SIZE,PACK unit, Value Sales , Units Sales ,REGION,STATE,CITY,STORE_ID,PRODUCT_ID,SUPPLIER_ID,DISTRIBUTION_CENTER,SALES_CHANNEL,BATCH_NUMBER,LOT_NUMBER,SUPPLIER_LEAD_TIME_DAYS,WAREHOUSE_ID,INVENTORY_STATUS,ORDER_STATUS,DATA_SOURCE,INGESTION_TIMESTAMP
01,Jan,2019,Small private market,Dishwashing,Gel,C,E,5412533002652,200,ML,"3,643",14,South,Tamil Nadu,Coimbatore,ST00352,PRD333643,SUP0109,DC_DEL,Retail,B735727,LOT34296,12,WH03,Out of Stock,Cancelled,SAP S/4HANA,16-05-2024 01:43
01,Jan,2019,Small private market,Personal Hygiene,Handwash,R,V,7290101866633,3000,ML," 8,17,935 ","2,451",West,Maharashtra,Pune,ST01234,PRD603531,SUP0033,DC_DEL,Retail,B538752,LOT67679,8,WH01,In Stock,Completed,SAP ECC,10-07-2024 21:22
01,Jan,2019,Small private market,Laundry Detergents,Liquid,R,V,7290101866787,3000,ML,"68,845",220,East,West Bengal,Kolkata,ST01406,PRD908211,SUP0049,DC_BLR,Modern Trade,B296489,LOT53503,12,WH01,In Stock,Pending,SAP ECC,28-09-2024 05:16
01,Jan,2019,Small private market,Surface Cleaners,Multipurpose,R,V,7290108201543,2000,ML,"4,971",23,West,Maharashtra,Pune,ST00676,PRD719513,SUP0068,DC_MUM,Retail,B811663,LOT43351,4,,In Stock,Pending,SAP ECC,08-04-2024 07:43
01,Jan,2019,Small private market,Stain Removal,Stain Remover,R,V,7290112000446,3470,ML,199,1,South,Kerala,Kochi,ST00919,PRD144932,SUP0004,DC_CHN,Retail,B616378,LOT69586,4,WH01,In Stock,Completed,Retail POS,17-11-2024 19:35
01,Jan,2019,Small private market,Stain Removal,Fabric Whitener,S,S,7290005425912,4000,ML,"20,042",63,South,Andhra Pradesh,Vijayawada,ST00005,PRD473999,SUP0048,DC_MUM,Retail,B525782,LOT63250,6,WH04,In Stock,Completed,SAP ECC,10-11-2024 07:25
01,Jan,2019,Small private market,Stain Removal,Fabric Whitener,S,S,7290005430626,2000,ML," 1,11,269 ",472,South,Telangana,Hyderabad,ST00034,PRD083946,SUP0016,DC_MUM,Wholesale,B727284,LOT46030,10,WH03,In Stock,Pending,Retail POS,23-08-2024 15:39
01,Jan,2019,Small private market,Air Care,Freshener,S,S,7290013268891,3000,ML," 4,97,789 ","1,815",South,Tamil Nadu,Chennai,ST01169,PRD643641,SUP0047,DC_KOL,Modern Trade,B286586,LOT80766,2,WH04,Low Stock,Completed,SAP ECC,11-10-2024 20:48
01,Jan,2019,Small private market,Surface Cleaners,Multipurpose,S,S,7290014397453,3000,ML,"74,574",254,West,Gujarat,Ahmedabad,ST00351,PRD018670,SUP0026,DC_DEL,Retail,B359039,LOT66825,2,WH04,In Stock,Completed,Distributor Portal,24-07-2024 17:49
01,Jan,2019,Small private market,Laundry Detergents,Liquid,S,S,7290107280563,3000,ML,"29,573",97,North,Delhi,New Delhi,ST00583,PRD085766,SUP0070,DC_DEL,Modern Trade,B693634,LOT78146,10,WH02,In Stock,Completed,SAP S/4HANA,16-03-2024 03:22
